id,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,horsepower,peak-rpm,city-mpg,highway-mpg,price
0,alfa-romero,gas,std,2,convertible,rwd,front,88.6,168.8,64.1,48.8,2548,dohc,4,130,mpfi,111.0,5000.0,21,27,13495.0
1,alfa-romero,gas,std,2,convertible,rwd,front,88.6,168.8,64.1,48.8,2548,dohc,4,130,mpfi,111.0,5000.0,21,27,16500.0
2,alfa-romero,gas,std,2,hatchback,rwd,front,94.5,171.2,65.5,52.4,2823,ohcv,6,152,mpfi,154.0,5000.0,19,26,16500.0
3,audi,gas,std,4,sedan,fwd,front,99.8,176.6,66.2,54.3,2337,ohc,4,109,mpfi,102.0,5500.0,24,30,13950.0
4,audi,gas,std,4,sedan,4wd,front,99.4,176.6,66.4,54.3,2824,ohc,5,136,mpfi,115.0,5500.0,18,22,17450.0
5,audi,gas,std,2,sedan,fwd,front,99.8,177.3,66.3,53.1,2507,ohc,5,136,mpfi,110.0,5500.0,19,25,15250.0
6,audi,gas,std,4,sedan,fwd,front,105.8,192.7,71.4,55.7,2844,ohc,5,136,mpfi,110.0,5500.0,19,25,17710.0
7,audi,gas,std,4,wagon,fwd,front,105.8,192.7,71.4,55.7,2954,ohc,5,136,mpfi,110.0,5500.0,19,25,18920.0
8,audi,gas,turbo,4,sedan,fwd,front,105.8,192.7,71.4,55.9,3086,ohc,5,131,mpfi,140.0,5500.0,17,20,23875.0
9,audi,gas,turbo,2,hatchback,4wd,front,99.5,178.2,67.9,52.0,3053,ohc,5,131,mpfi,160.0,5500.0,16,22,0.0
10,bmw,gas,std,2,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,ohc,4,108,mpfi,101.0,5800.0,23,29,16430.0
11,bmw,gas,std,4,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,ohc,4,108,mpfi,101.0,5800.0,23,29,16925.0
12,bmw,gas,std,2,sedan,rwd,front,101.2,176.8,64.8,54.3,2710,ohc,6,164,mpfi,121.0,4250.0,21,28,20970.0
13,bmw,gas,std,4,sedan,rwd,front,101.2,176.8,64.8,54.3,2765,ohc,6,164,mpfi,121.0,4250.0,21,28,21105.0
14,bmw,gas,std,4,sedan,rwd,front,103.5,189.0,66.9,55.7,3055,ohc,6,164,mpfi,121.0,4250.0,20,25,24565.0
15,bmw,gas,std,4,sedan,rwd,front,103.5,189.0,66.9,55.7,3230,ohc,6,209,mpfi,182.0,5400.0,16,22,30760.0
16,bmw,gas,std,2,sedan,rwd,front,103.5,193.8,67.9,53.7,3380,ohc,6,209,mpfi,182.0,5400.0,16,22,41315.0
17,bmw,gas,std,4,sedan,rwd,front,110.0,197.0,70.9,56.3,3505,ohc,6,209,mpfi,182.0,5400.0,15,20,36880.0
18,chevrolet,gas,std,2,hatchback,fwd,front,88.4,141.1,60.3,53.2,1488,l,3,61,2bbl,48.0,5100.0,47,53,5151.0
19,chevrolet,gas,std,2,hatchback,fwd,front,94.5,155.9,63.6,52.0,1874,ohc,4,90,2bbl,70.0,5400.0,38,43,6295.0
20,chevrolet,gas,std,4,sedan,fwd,front,94.5,158.8,63.6,52.0,1909,ohc,4,90,2bbl,70.0,5400.0,38,43,6575.0
21,dodge,gas,std,2,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876,ohc,4,90,2bbl,68.0,5500.0,37,41,5572.0
22,dodge,gas,std,2,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876,ohc,4,90,2bbl,68.0,5500.0,31,38,6377.0
23,dodge,gas,turbo,2,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,ohc,4,98,mpfi,102.0,5500.0,24,30,7957.0
24,dodge,gas,std,4,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967,ohc,4,90,2bbl,68.0,5500.0,31,38,6229.0
25,dodge,gas,std,4,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,ohc,4,90,2bbl,68.0,5500.0,31,38,6692.0
26,dodge,gas,std,4,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,ohc,4,90,2bbl,68.0,5500.0,31,38,7609.0
27,dodge,gas,turbo,4,sedan,fwd,front,93.7,157.3,63.8,50.6,2191,ohc,4,98,mpfi,102.0,5500.0,24,30,8558.0
28,dodge,gas,std,4,wagon,fwd,front,103.3,174.6,64.6,59.8,2535,ohc,4,122,2bbl,88.0,5000.0,24,30,8921.0
29,dodge,gas,turbo,2,hatchback,fwd,front,95.9,173.2,66.3,50.2,2811,ohc,4,156,mfi,145.0,5000.0,19,24,12964.0
30,honda,gas,std,2,hatchback,fwd,front,86.6,144.6,63.9,50.8,1713,ohc,4,92,1bbl,58.0,4800.0,49,54,6479.0
31,honda,gas,std,2,hatchback,fwd,front,86.6,144.6,63.9,50.8,1819,ohc,4,92,1bbl,76.0,6000.0,31,38,6855.0
32,honda,gas,std,2,hatchback,fwd,front,93.7,150.0,64.0,52.6,1837,ohc,4,79,1bbl,60.0,5500.0,38,42,5399.0
33,honda,gas,std,2,hatchback,fwd,front,93.7,150.0,64.0,52.6,1940,ohc,4,92,1bbl,76.0,6000.0,30,34,6529.0
34,honda,gas,std,2,hatchback,fwd,front,93.7,150.0,64.0,52.6,1956,ohc,4,92,1bbl,76.0,6000.0,30,34,7129.0
35,honda,gas,std,4,sedan,fwd,front,96.5,163.4,64.0,54.5,2010,ohc,4,92,1bbl,76.0,6000.0,30,34,7295.0
36,honda,gas,std,4,wagon,fwd,front,96.5,157.1,63.9,58.3,2024,ohc,4,92,1bbl,76.0,6000.0,30,34,7295.0
37,honda,gas,std,2,hatchback,fwd,front,96.5,167.5,65.2,53.3,2236,ohc,4,110,1bbl,86.0,5800.0,27,33,7895.0
38,honda,gas,std,2,hatchback,fwd,front,96.5,167.5,65.2,53.3,2289,ohc,4,110,1bbl,86.0,5800.0,27,33,9095.0
39,honda,gas,std,4,sedan,fwd,front,96.5,175.4,65.2,54.1,2304,ohc,4,110,1bbl,86.0,5800.0,27,33,8845.0
40,honda,gas,std,4,sedan,fwd,front,96.5,175.4,62.5,54.1,2372,ohc,4,110,1bbl,86.0,5800.0,27,33,10295.0
41,honda,gas,std,4,sedan,fwd,front,96.5,175.4,65.2,54.1,2465,ohc,4,110,mpfi,101.0,5800.0,24,28,12945.0
42,honda,gas,std,2,sedan,fwd,front,96.5,169.1,66.0,51.0,2293,ohc,4,110,2bbl,100.0,5500.0,25,31,10345.0
43,isuzu,gas,std,4,sedan,rwd,front,94.3,170.7,61.8,53.5,2337,ohc,4,111,2bbl,78.0,4800.0,24,29,6785.0
